komentar,analisis
omaga,"1. Komentar 1: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar ini tidak menunjukkan sentimen terhadap kerusakan alam, tetapi merupakan percakapan yang tidak jelas dan tidak relevan dengan topik video.

2. Komentar 2: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: Isu sosial. Alasan: Komentar ini menunjukkan kritik atau kekecewaan dengan perintah atau tindakan yang dianggap tidak serius, yang dapat diinterpretasikan sebagai sentimen negatif terhadap isu yang dianggap serius.

3. Komentar 3: Sentimen Tidak Relevan. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini membahas tentang masalah dengan peta Google Maps dan tidak berkaitan dengan kerusakan alam di Raja Ampat.

4. Komentar 4: Sentimen Neutral. Indikasi buzzer: Tidak. Topik: Energi geotermal. Alasan: Komentar ini meminta analisis tentang potensi energi geotermal bersih sebagai alternatif terhadap energi fosil, dan tidak menunjukkan sentimen positif atau negatif terhadap kerusakan alam di Raja Ampat.

5. Komentar 5: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar ini menyampaikan kesalahan atau kesalahan dalam izin tambang dan dampaknya terhadap warga lokal, menunjukkan sentimen negatif.

6. Komentar 6: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar ""boikot bahlil tujuh turun"" sangat"
bang komenan yg lu bahas video gaada wkwk,"1. **Komentar 1**: Sentimen: Netral. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini kurang jelas dan tidak terkait dengan kerusakan alam di Raja Ampat.

2. **Komentar 2**: Sentimen: Negatif. Indikasi buzzer: Tidak. Topik: Isu sosial/Konten settingan. Alasan: Komentar ini membahas percakapan dari sebuah video dan tidak mengusulkan apa pun mengenai kerusakan alam di Raja Ampat.

3. **Komentar 3**: Sentimen: Negatif. Indikasi buzzer: Tidak. Topik: Kerusakan alam / isu sosial. Alasan: Komentar ini menyampaikan kritik terhadap kekayaan negara dengan rakyat miskin, yang bisa diinterpretasikan sebagai kritikan terhadap pengelolaan sumber daya alam yang tidak seimbang.

4. **Komentar 4**: Sentimen: Netral. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini hanya menyampaikan pilihan tontonan tanpa mengusulkan apa pun mengenai kerusakan alam.

5. **Komentar 5**: Sentimen: Negatif. Indikasi buzzer: Ya. Topik: Konten settingan. Alasan: Komentar ini menggunakan kata ""bodoh"" dan ""antik buzzer,"" yang bisa diinterpretasikan sebagai kritikan atau kekecewaan terhadap konten video.

6. **Komentar 6**: Sentimen: Negatif. Indikasi buzzer: Tidak. Topik: Kerusakan alam / isu sosial. Alasan: Komentar ini mengkritik masyarakat dan pemimpin yang tidak peduli terhadap kerusakan alam di Raja Ampat, menunjukkan sent"
nyari komen natanadhynagara,"1. Komentar 1: Sentimen Negatif. Ini menunjukkan kekesalahan atau kekecewaan terhadap apa yang disebutkan sebagai ""bahlil goblok"", yang tidak berkaitan dengan isu pelestarian alam.

2. Komentar 2: Sentimen Negatif. Komentar ini menyadari masalah serius dengan frase ""hilang harap bang kondisi tanah air"", menunjukkan kekecewaan terhadap keadaan alam Raja Ampat.

3. Komentar 3: Sentimen Negatif. Frase ""perintah anjing"" menunjukkan kecewa atau kecewa terhadap perintah atau perilaku yang dianggap seperti perintah yang tidak adil, tidak berkaitan dengan pelestarian alam.

4. Komentar 4: Sentimen Tidak Relevan. Komentar ini fokus pada topik konten settingan (kanaal subscribe) dan isu sosial (wakil rakyat vs oligarki) dan tidak berkaitan dengan kerusakan alam di Raja Ampat.

5. Komentar 5: Sentimen Negatif. Komentar ini menunjukkan kekecewaan dan kebediran terhadap situasi Indonesia, termasuk kerusakan alam, dengan frase seperti ""hidup Indonesia sungguh Indonesia buku buku ajar Indonesia kaya sda kaya destinasi wisata"".

6. Komentar 6: Sentimen Tidak Bersih. Komentar ini bertanya tentang izin protes, yang tidak langsung berkaitan dengan kerusakan alam di Raja Ampat.

7. Komentar 7: Sentimen Positif. Komentar ini menghargai logo, yang mungkin digunakan dalam upaya pelestarian alam jika logo terhubung dengan inisiatif pelestarian.

8. Komentar 8: Sentimen Positif. Komentar ini mendorong pe"
organ tubuh nama otak sebaikbaiknya ngga jebak lubang salah,"1. Sentimen: Negatif
   Indikasi buzzer: Tidak
   Topik: Kerusakan alam / isu sosial
   Alasan: Komentar ini menunjukkan marah dan kekecewaan terhadap kondisi Raja Ampat, yang dikaitkan dengan kerusakan alam.

2. Sentimen: Negatif
   Indikasi buzzer: Tidak
   Topik: Kerusakan alam / isu sosial
   Alasan: Komentar ini menunjukkan kebimbangan tentang isu yang diulang dan terlalu kompleks, yang dapat menyebarkan kekeliruan tentang kerusakan alam Raja Ampat.

3. Sentimen: Negatif
   Indikasi buzzer: Ya (manipulasi/perangkap)
   Topik: Konten settingan / tidak relevan
   Alasan: Komentar ini menyimpulkan bahwa video menggunakan isu Raja Ampat sebagai permainan hanya untuk mendapatkan pengeluaran, yang tidak relevan dengan topik kerusakan alam.

4. Sentimen: Negatif
   Indikasi buzzer: Tidak
   Topik: Kerusakan alam / isu sosial
   Alasan: Komentar ini mengkritik korupsi dan mengaitkannya dengan kerusakan alam Raja Ampat, menunjukkan kepedulian terhadap isu ini.

5. Sentimen: Negatif
   Indikasi buzzer: Tidak
   Topik: Kerusakan alam / isu sosial
   Alasan: Komentar ini menunjukkan marah terhadap orang-orang yang tidak berperan baik dalam pelestarian alam Raja Ampat.

6. Sentimen: Netral
   Indikasi buzzer: Tidak
   Topik: Kerusakan alam / isu sosial / konten settingan
   Alasan: Komentar ini mengungkap perbedaan pendapat tentang peran turis dalam pelestarian Raja Ampat dan mungkin menc"
endingnya kaya yg novel hujan tereliye ga ya well see,"1. Komentar 1: Sentimen Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam. Alasan: Komentar ini menunjukkan kritik kepada rakyat yang membusuk alam dan rusak lingkungan, yang sesuai dengan topik kerusakan alam.

2. Komentar 2: Sentimen Tidak Relevan. Indikasi buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar ini bersifat humoristis dan membahas fiksi anime ""Naruto"" (konoha), tanpa mengaitkan dengan isu kerusakan alam di Raja Ampat.

3. Komentar 3: Sentimen Tidak Relevan. Indikasi buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ini menyebut ""isi chanel pki"", yang menunjukkan keinginan untuk mengubah konten video tanpa berfokus pada isu kerusakan alam.

4. Komentar 4: Sentimen Positif. Indikasi buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini menekankan keindahan Raja Ampat dan keunikan seni keluli Indonesia, yang dapat diinterpretasikan sebagai sebuah upaya untuk mendorong pelestarian alam.

5. Komentar 5: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini menunjukkan kebimbangan tentang kebodohan pemimpin dan masyarakat yang tidak peduli terhadap isu alam, yang sesuai dengan topik isu sosial.

6. Komentar 6: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini menyimpulkan bahwa sebagian masyarakat ""bahlul,"""
sumpah pesimis negara baik presiden gak logis jabat jabat harap gera rakyat tanah utk basmi jabat jabat tolol,"1. Komentar 1: Sentimen Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam. Alasan: Komentar ini menunjukkan kekecewaan terhadap perintah yang dianggap aneh dan memiliki efek pariwisata yang luas, yang menciptakan kerusakan alam.

2. Komentar 2: Sentimen Netral. Indikasi buzzer: Tidak. Topik: hukum alam. Alasan: Komentar ini menyebutkan hukum alam tanpa menunjukkan sentimen positif atau negatif.

3. Komentar 3: Sentimen Negatif. Indikasi buzzer: Ya. Topik: isu sosial. Alasan: Komentar ini menyampaikan rasa bersalah dan kekecewaan terhadap kondisi Indonesia yang dianggap seperti neraka, dengan rakyat yang menderita tanpa henti.

4. Komentar 4: Sentimen Negatif. Indikasi buzzer: Ya. Topik: konten settingan. Alasan: Komentar ini bertujuan kepada seseorang (klean) yang dianggap tidak peduli dengan kerusakan alam.

5. Komentar 5: Sentimen Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam. Alasan: Komentar ini menunjukkan kekecewaan dan kepedulian atas kondisi alam yang rusak di Raja Ampat dan meminta hukum atas pihak yang bersangkutan.

6. Komentar 6: Sentimen Negatif. Indikasi buzzer: Ya. Topik: isu sosial. Alasan: Komentar ini menunjukkan rasa kecewa dan kekecewaan terhadap kondisi negara yang dianggap hilang dan pemimpinnya yang tidak responsif.

7. Komentar 7: Sentimen Negatif. Indik"
kaga mikirin bagus bang untung mah gas aja aneh kn klo berfikirnya ga sampe,"1. Komentar 1: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: Konten Settingan. Alasan: Komentar menunjukkan kebimbangan tentang perintah yang mungkin menyebabkan kerusakan alam, tanpa memberikan solusi atau pelestarian.

2. Komentar 2: Sentimen Tidak Relevan. Indikasi Buzzer: Tidak. Topik: Tidak Relevan. Alasan: Komentar hanya membahas konten video tanpa mengusulkan isu alam atau kerusakan.

3. Komentar 3: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: Kerusakan Alam. Alasan: Komentar menggunakan ""bukti sampah"" sebagai metaphor untuk mengindikasikan perusakan alam oleh perintah Indonesia.

4. Komentar 4: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: Isu Sosial. Alasan: Komentar mengkritik pemimpin yang dianggap rakus dan tidak peduli dengan masalah masyarakat.

5. Komentar 5: Sentimen Positif. Indikasi Buzzer: Tidak. Topik: Kerusakan Alam. Alasan: Komentar menunjukkan kepedulian masyarakat Raja Ampat terhadap alam dan ekonomi mereka tanpa menggunakan tambang.

6. Komentar 6: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: Kerusakan Alam. Alasan: Komentar menyampaikan kekecewaan dengan data yang diperoleh, yang mungkin berkaitan dengan kerusakan alam atau isu lainnya.

7. Komentar 7: Sentimen Tidak Relevan. Indikasi Buzzer: Tidak. Topik: Konten Settingan. Alasan: Komentar hanya menyebutkan"
koment peler tai palat,"1. Komentar 1: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar ini menggunakan sifat komunis dan CCCP sebagai sudut pandang, yang bisa dipahami sebagai kritik terhadap sistem yang pernah mengalami kerusakan alam di wilayah tersebut.

2. Komentar 2: Sentimen Netral. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini berfokus pada permintaan informasi dan tidak menunjukkan sentimen positif atau negatif terhadap kerusakan alam.

3. Komentar 3: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar ""pantesnya binasa"" menunjukkan kesadaran tentang kerusakan pakaian tradisional, yang dapat diinterpretasikan sebagai kritik terhadap perubahan sosial yang mengancam alam.

4. Komentar 4: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: Kerusakan alam. Alasan: ""si bahlul biang nya"" dapat diinterpretasikan sebagai kritik terhadap perilaku yang mengancam alam.

5. Komentar 5: Sentimen Netral. Indikasi buzzer: Tidak. Topik: Isu sosial. Alasan: Komentar ini berfokus pada identitas nasional dan tidak menunjukkan sentimen positif atau negatif terhadap kerusakan alam.

6. Komentar 6: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar ini mengkritik pengelolaan dan tujuan ekonomi yang mengabaikan pelestarian alam di Raja Ampat.

7. Komentar"
kesini nyari komennya bro asn tp ga,"1. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: Kerusakan alam; Alasan: Komentar ini mengkritik kerusakan alam di Raja Ampat, menunjukkan sentimen negatif.
2. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: Isu sosial; Alasan: Komentar ini menegaskan persoalan afiliasi dan kritik terhadap seseorang yang dianggap tidak mempertahankan rakyat, sehingga menunjukkan sentimen negatif.
3. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: Kerusakan alam; Alasan: Komentar ini menunjukkan kesulitan dalam memahami situasi pemerintah terhadap kerusakan alam, sehingga menunjukkan sentimen negatif.
4. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: Konten settingan; Alasan: Komentar ini menunjukkan kebingung dan kekecewaan dengan konten yang diberikan, sehingga menunjukkan sentimen negatif.
5. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: Kerusakan alam; Alasan: Komentar ini menunjukkan kekurangan informasi dan akurasi pada peta digital mengenai lokasi tambang di Pulau Raja Ampat, sehingga menunjukkan sentimen negatif.
6. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: Kerusakan alam; Alasan: Komentar ini menggunakan gaya sarara dan simbolisasi untuk mengungkap kerusakan alam dan korupsi, menunjukkan sentimen negatif.
7. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: Kerusakan alam; Alasan: Komentar ini mengkritik orang yang tidak peduli dengan"
komennya si asn yg ngasih poin pro tambang raja ampat,"1. Komentar 1: Sentimen Negatif. Indikasi buzzer: Ya. Topik: Kerusakan alam. Alasan: Komentar ini menunjukkan kekecewaan terhadap nasionalisme yang dilambangkan, yang berdampak negatif terhadap pelestarian alam di Raja Ampat.

2. Komentar 2: Sentimen Tidak Ada. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini fokus pada hasil tambang nikel dan ekonomi, tidak terkait dengan kerusakan alam atau isu pelestarian.

3. Komentar 3: Sentimen Negatif. Indikasi buzzer: Ya. Topik: Kerusakan alam / isu sosial. Alasan: Komentar ini mengkritik perspektif kosong terhadap keburuan alam di Raja Ampat, menunjukkan kekurangan peduli sosial.

4. Komentar 4: Sentimen Negatif. Indikasi buzzer: Ya. Topik: Isu sosial. Alasan: Komentar ini menggunakan kata ""jajah bangsa"" yang bermakna eksploitasi dan kekuatan, menunjukkan kekurangan peduli sosial dan etis.

5. Komentar 5: Sentimen Tidak Ada. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini fokus pada individu dan aktivis, tidak berkaitan dengan isu kerusakan alam di Raja Ampat.

6. Komentar 6: Sentimen Tidak Ada. Indikasi buzzer: Tidak. Topik: Istilah ""gokil"" digunakan tanpa konteks terkait kerusakan alam, hanya mengajak untuk nonton video.

7. Komentar 7: Sentimen Tidak Ada. Indikasi buzzer: Tidak. Komentar"
org enak yah,"1. Komentar 1: Sentimen Negatif. Alasan: Komentar ini menunjukkan kekecewaan dan keberatan terhadap video, tanpa menunjukkan kepedulian terhadap kerusakan alam di Raja Ampat. Indikasi buzzer: Tidak, komentar tidak menyebutkan apa yang terjadi di Raja Ampat. Topik: tidak relevan, karena komentar fokus pada kecurigaan atau ketidakpastian tentang tindakan pemerintah.

2. Komentar 2: Sentimen Tidak Tentu. Alasan: Komentar ini seperti memuat perubahan di jangka waktu pendek, tanpa menyebut apa yang terjadi di Raja Ampat atau memuatkan sentimen yang positif atau negatif. Indikasi buzzer: Tidak, komentar tidak mengingatkan tentang kerusakan alam atau isu sosial. Topik: konten settingan.

3. Komentar 3: Sentimen Tidak Tentu. Alasan: Komentar ini tidak berisi analisis atau sentimen terhadap video, mungkin hanya sebuah greetings kepada teman. Indikasi buzzer: Tidak, tidak ada buzzer yang relevan. Topik: tidak relevan.

4. Komentar 4: Sentimen Negatif. Alasan: Komentar ini menunjukkan kritikan terhadap kepentingan pribadi di sebalik usaha pelestarian alam di Raja Ampat. Indikasi buzzer: Tidak, komentar tidak menyebutkan buzzer-buzzer yang umum. Topik: kerusakan alam.

5. Komentar 5: Sentimen Negatif. Alasan: Komentar ini mengindikasikan kekecewaan dengan kondisi Raja Ampat, menunjukkan bahwa alam telah ""utek"" atau dalam keadaan buruk. Indikasi buzker"
asn makan gaji buta jilat perintah masuk jam pulang jam ngomong kontolll,"1. Komentar 1: Sentimen Negatif. Alasan: Komentar ini menunjukkan kekecewaan karena kerusakan alam yang menyebabkan sakit kepala, yang secara langsung mengindikasikan kritikan terhadap kondisi Raja Ampat.

2. Komentar 2: Topik: Tidak Relevan. Alasan: Komentar ini secara langsung tidak berkaitan dengan kerusakan alam di Raja Ampat. Ia membahas fans klub bola sepak Juventus dan Liverpool.

3. Komentar 3: Topik: Tidak Relevan. Alasan: Komentar ini membahas jersey klub bang, yang tidak berkaitan dengan isu kerusakan alam di Raja Ampat.

4. Komentar 4: Sentimen Negatif. Topik: Kerusakan Alam. Alasan: Komentar ""indonesia parah"" menunjukkan kekesalahan atau kritikan terhadap keadaan negara, yang dapat dipahami sebagai kritik terhadap kerusakan alam.

5. Komentar 5: Buzzer: Tidak. Topik: Tidak Jelas. Alasan: Komentar ""paten"" sangat singkat dan tidak menunjukkan sentimen atau topik yang jelas dalam konteks kerusakan alam di Raja Ampat.

6. Komentar 6: Sentimen Negatif. Topik: Isu Sosial. Alasan: Komentar ini menunjukkan kekecewaan dan kritikan terhadap inti ""bejat moral bodoh intelektual,"" yang dapat diinterpreti sebagai kritik sosial yang berkaitan dengan isu yang lebih luas, termasuk kerusakan alam.

7. Komentar 7: Sentimen Negatif. Topik: Isu Sosial. Alasan: Komentar ""jabat bahlul konoha"" menunjukkan kritikan atau ke"
gk skil teknologi gk cerdas teknologi yg tenaga alam yaudh nambang aja buka lapang kerja bangka belitung yg tutup tambang nya warga nya hilang kerja,"1. Komentar 1: Sentimen: Positif. Indikasi buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini menunjukkan kepedulian terhadap lingkungan dengan menyebut ""nilai lingkungan"".

2. Komentar 2: Sentimen: Negatif. Indikasi buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini mengkritik entitas yang memberi izin, terasa seperti tidak peduli terhadap kerusakan alam yang tidak disepecifikkan.

3. Komentar 3: Sentimen: Negatif. Indikasi buzzer: Ya (korupsi). Topik: isu sosial. Alasan: Komentar ini mengkritik korupsi dan rakusan di tingkat pemerintahan, tidak secara langsung membahas kerusakan alam, tetapi menunjukkan konteks sosial yang memengaruhi masalah alam.

4. Komentar 4: Sentimen: Negatif. Indikasi buzzer: Ya (rakusan). Topik: isu sosial. Alasan: Komentar ini menunjukkan kekecewaan terhadap kebodohan dan rakusan pemimpin Indonesia, menyimpulkan bahwa mereka tidak mempertimbangkan konsekuensi akibatnya terhadap negara, termasuk masalah alam.

5. Komentar 5: Sentimen: Negatif. Indikasi buzzer: Tidak. Topik: moral dan intelektualitas. Alasan: Komentar ini menghentikan moral dan intelektualitas individu, tidak secara langsung membahas kerusakan alam.

6. Komentar 6: Sentimen: Negatif. Indikasi buzzer: Tidak. Topik: kuasa dan eksploitasi. Alasan: Komentar ini menyimpulkan bahwa ""emas"" menj"
kontol pt kontol,"1. Komentar 1: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar ini menunjukkan kekecewaan terhadap kondisi ternak yang hancur, yang dapat diinterpretasikan sebagai dampak dari kerusakan alam di Raja Ampat.

2. Komentar 2: Sentimen Tidak Relevan. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini terkait dengan hal-hal teknis seperti siluet dalam video tanpa membahas isu kerusakan alam.

3. Komentar 3: Sentimen Positif. Indikasi buzzer: Tidak. Topik: Solusi kerusakan alam. Alasan: Komentar ini menawarkan solusi terkait ternak Mulyono untuk membantu perawatan raja Ampat, yang menunjukkan kepedulian terhadap kerusakan alam.

4. Komentar 4: Sentimen Tidak Relevan. Indikasi buzzer: Tidak. Topik: Isu sosial. Alasan: Komentar ini menyebut karimunjawa dan sumba tanpa hubungan dengan konten video tentang kerusakan alam di Raja Ampat.

5. Komentar 5: Sentimen Tidak Relevan. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini menawarkan link ke kaos bangg, yang tidak berkaitan dengan isu kerusakan alam di Raja Ampat.

6. Komentar 6: Sentimen Positif. Indikasi buzzer: Tidak. Topik: Stabilitas alam. Alasan: Komentar ini menyebut nilai harga alam, yang secara langkah lanjut menunjukkan kepedulian terhadap pelestarian alam.

7. Komentar 7: Sentimen Negatif. Indi"
komen asn ya,"1. Komentar 1: Sentimen Negatif - Indikasi Buzzer: Tidak - Topik: Kerusakan Alam - Alasan: Komentar ini menyalahkan seseorang tanpa bertanggung jawab dan menggunakan bambu runcing sebagai alasan yang tidak relevan dengan kerusakan alam di Raja Ampat.

2. Komentar 2: Sentimen: Tidak Terdeteksi - Indikasi Buzzer: Tidak - Topik: Konten Settingan - Alasan: Komentar ini berkaitan dengan konten video tanpa membahas isu kerusakan alam.

3. Komentar 3: Sentimen: Tidak Terdeteksi - Indikasi Buzzer: Tidak - Topik: Tidak Relevan - Alasan: Komentar ini berkaitan dengan estetika thumbnail dan tidak berkaitan dengan isu kerusakan alam.

4. Komentar 4: Sentimen: Tidak Terdeteksi - Indikasi Buzzer: Tidak - Topik: Isu Sosial - Alasan: Komentar ini berkaitan dengan pakaian dan tidak membahas kerusakan alam.

5. Komentar 5: Sentimen: Tidak Terdeteksi - Indikasi Buzzer: Tidak - Topik: Isu Sosial - Alasan: Komentar ini berkaitan dengan individu dan peran mereka, tanpa membahas kerusakan alam.

6. Komentar 6: Sentimen Negatif - Indikasi Buzzer: Tidak - Topik: Kerusakan Alam - Alasan: Komentar ini mengkritik pilihan sumber daya alam yang tidak terkaya (non-renewable) atas kegagalan masyarakat untuk memanfaatkannya dengan lebih baik.

7. Komentar 7: Sentimen Negatif - Indikasi Buzzer: Tidak - Topik: Kerusakan Alam - Alasan: Komentar"
komentar yg pin ilang y gaes takut kena teror krna tolol nya kyk nya,"1. Komentar 1: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar ini menunjukkan kekecewaan dan kekecewaan terhadap kondisi negara yang dianggap ""zalim"" terhadap alam, sifat negatif yang menegaskan kerusakan alam.

2. Komentar 2: Sentimen Tidak Ada. Indikasi buzzer: Tidak. Topik: Isu sosial. Alasan: Komentar ini secara langsung tidak menyebut kerusakan alam, tetapi membahas perubahan atau perangkap dalam masyarakat Raja Ampat, yang mungkin berkaitan dengan topik sosial.

3. Komentar 3: Sentimen Tidak Ada. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini fokus pada kritik terhadap konten atau pesan yang diberikan, bukan langganan atau tanggapan terhadap kerusakan alam.

4. Komentar 4: Sentimen Tidak Ada. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini merupakan ekspresi emosional dan tidak menunjukkan sentimen terhadap kerusakan alam.

5. Komentar 5: Sentimen Positif. Indikasi buzzer: Tidak. Topik: Isu sosial. Alasan: Komentar ini menunjukkan penghormatan dan kepedulian terhadap individu yang dianggap ""orang hebat,"" yang mungkin berkontribusi positif dalam bidang lain, tanpa langganan langsung terhadap kerusakan alam.

6. Komentar 6: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar ini mengkritik praktik"
geng solo,"1. Komentar 1: Sentimen Negatif. Indikasi buzzer: Ya. Topik: isu sosial. Alasan: Komentar ini menunjukkan kekesalahan terhadap kebijaksanaan pemerintah dalam melindungi alam, sifat ""mata duit doang otak"" menyimpulkan keberlanjutan kerusakan alam disebabkan kepentingan pribadi.

2. Komentar 2: Sentimen Negatif. Indikasi buzzer: Ya. Topik: tidak relevan. Alasan: Komentar ""bahlul"" tidak berkaitan dengan kerusakan alam di Raja Ampat dan hanya menunjukkan kritikan umum.

3. Komentar 3: Sentimen Netral. Indikasi buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ""indonsia emas"" hanya menyebut kata-kata tanpa memberikan konteks terkait kerusakan alam.

4. Komentar 4: Sentimen Netral. Indikasi buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ""next pulau aceh"" tidak berkaitan dengan kerusakan alam di Raja Ampat dan hanya mungkin menunjukkan keinginan untuk melihat lokasi lain.

5. Komentar 5: Sentimen Negatif. Indikasi buzzer: Ya. Topik: isu sosial. Alasan: Komentar ""bodoh"" menunjukkan kekecewaan dan kritikan terhadap individu atau kebijaksanaan dalam memecahkan masalah kerusakan alam.

6. Komentar 6: Sentimen Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam / isu sosial. Alasan: Komentar ""bolak kriminal"" menunjukkan kritikan terhadap tindakan yang dianggap berdosa terhadap al"
bjir komennya ilang,"1. Sentimen: Negatif
   - Indikasi Buzzer: Tidak
   - Topik: Kerusakan alam, isu sosial
   - Alasan: Komentar ini menunjukkan kekurangan peduli terhadap kerusakan alam dan menyalahkan pelestarian, dengan fokus pada kebijaksanaan pribadi individu berkunjung ke lokasi yang terjejas.

2. Sentimen: Negatif
   - Indikasi Buzzer: Tidak
   - Topik: Kerusakan alam
   - Alasan: Komentar ini mengandung kutukan (moga nikmat nikel laknat seperti Firaun), yang menunjukkan kekurangan empati dan kepedulian terhadap kerusakan alam di Raja Ampat.

3. Sentimen: Negatif
   - Indikasi Buzzer: Tidak
   - Topik: Kerusakan alam, isu sosial
   - Alasan: Komentar ini menyampaikan kritik terhadap korupsi dan kekurangan hukum di Indonesia, yang terkait dengan kerusakan alam tanpa menyebutkan solusi atau kepedulian.

4. Sentimen: Neutral
   - Indikasi Buzzer: Tidak
   - Topik: Konten settingan
   - Alasan: Komentar ini berkaitan dengan sikap humoristis terhadap konten video, tanpa membahas isu kerusakan alam atau isu sosial.

5. Sentimen: Negatif
   - Indikasi Buzzer: Tidak
   - Topik: Kerusakan alam
   - Alasan: Komentar ini menyadari kerusakan alam dan membuat paralel dengan kehidupan ""nikmat"" yang tidak seharusnya, menunjukkan kepedulian terhadap masalah ini.

6. Sentimen: Neutral
   - Indikasi Buzzer: Tidak
   - Topik: Konten settingan
   - Alasan: Komentar ini menghargai inspirasi intro video"
indah inegaraku mang bijak,"1. Komentar 1: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini menunjukkan kekecewaan terhadap keadaan yang ""risih"" (tersebelah) dan ""ga kah ngedor pala"" (tidak mencuci tangan), sifat yang negatif terhadap keadaan alam di Raja Ampat.

2. Komentar 2: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini menunjukkan kritik terhadap praktik yang dianggap mencari keuntungan (“pusat mikir putar uang”) secara meluas, yang mengganggu kesejahteraan masyarakat dan alam.

3. Komentar 3: Sentimen Tidak Tentu. Indikasi buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ini menanyakan kenapa video tidak bersertifikat kalimat, bukan sebuah tanggapan langsung terhadap kerusakan alam di Raja Ampat.

4. Komentar 4: Sentimen Tidak Tentu. Indikasi buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini menyoroti konteks peraturan Belanda dan perilaku warga, yang terkait dengan isu sosial, namun tidak langsung membahas kerusakan alam.

5. Komentar 5: Sentimen Tidak Tentu. Indikasi buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ini berisi mitos dan kisah fantasi, tanpa memberikan tanggapan langsung terhadap kerusakan alam di Raja Ampat.

6. Komentar 6: Sentimen Tidak Tentu. Indikasi buzzer: Tidak. Topik: isu sosial"
